timestamp	reward	action	state
0	0.10531712043043295	[-0.15305151322953361, 0.8208284365668892, 0.9925657921813549, -0.6990611088533152, -0.9828414876007188, -0.579898610799875, -0.5141895376909605, -0.9116522571250129, -0.7881009042605434, 0.34232886534119467, -0.3185222383866302, -0.8149960635785999, 0.9600703647249347, -0.4622243233190425, 0.1556603556643675, -0.7539612319660183, 0.34945332979859084]	[[0.10531712043043295], [0.9997950068436817], [0.0035868877251510355], [0.00918663068746159], [-0.017682882782565263], [0.026614234562360034], [-0.021987177668813196], [0.0537212113258634], [-0.09636305084974352], [-0.005675209368667583], [-0.08395692626862639], [-0.205100136719163], [-0.06442118631700376], [0.010434770204768193], [-0.008066262231127825], [-0.04197578547176034], [-0.023219193256725335], [0.06642708353665025], [-0.03311166909782322], [0.06647288543807393], [0.006813303446791689], [0.01654365110696411]]
1	0.10885264492320498	[0.9859428061371878, 0.5738535406430646, 0.37183716876353856, 0.6676448578160709, -0.45724595903141, -0.2236929535159717, -0.4377184326071469, -0.012442434029604994, 0.43664730331719803, 0.3948394926847006, 0.2737187042868365, 0.33074418669816674, 0.06859230060208342, -0.7261233928922782, 0.5526676963688322, 0.27637091413878195, -0.7501770151395261]	[[0.10885264492320498], [0.9986570844444925], [0.001863329139265296], [0.03278248096965066], [-0.040073240882404375], [0.1196693656948357], [-0.08951449058980676], [0.14596005286896493], [-0.07795908917963504], [-0.06641130744932873], [-0.22937043916785171], [-0.6000882238488302], [-0.0857663719214994], [0.07008929718519127], [0.047926642724467665], [0.0021830631483833237], [-0.03585498563455971], [0.1718154987886708], [-0.11764141402917506], [0.2303476729394686], [0.03865849586771153], [0.02928583785519232]]
2	0.10699741292614239	[0.7248204481515174, 0.9414892651472738, -0.9502485160633926, 0.56176177445286, 0.6070230434778007, 0.311408744705686, -0.27749834163616954, -0.7051846703395026, -0.6129038717733486, 0.8947956975274897, -0.12033241850040825, 0.06002914318088934, -0.42399834810295167, -0.22215500969899651, 0.23102799520321823, -0.34764103353302284, -0.22940204228427985]	[[0.10699741292614239], [0.9978157514002485], [-0.0018868155308660404], [0.04052236536789062], [-0.05213543986293008], [0.1631420377038805], [-0.18536735310603714], [0.15351562222328974], [0.026721451651035354], [-0.09618980753365418], [-0.24023801443017898], [-0.8151973991560194], [-0.15316895975720649], [0.1191092901300099], [0.16334449961279285], [0.016786209123609473], [-0.05402494769705546], [0.23228011903097842], [-0.206654769763201], [0.3657840559608354], [0.03971348688156535], [-0.021315439617982913]]
3	0.10463432787125193	[0.23229038327347576, -0.8118461260944135, 0.38523856633625614, 0.049741417176495425, -0.5184276375175453, -0.5812602546111607, -1.0042866672639228, 0.6754680920831424, -0.7866353162283252, -0.40038453907315863, -0.6506067001131695, 0.44347804201102115, 0.6590967447800972, -0.14360258892428865, 0.9889444728018012, 0.5901631879920097, -0.40077588030048733]	[[0.10463432787125193], [0.9977154735497599], [-0.016446447733059318], [0.029993315185272075], [-0.058255894470340214], [0.17389227099140253], [-0.13185603300355603], [0.15834726670315696], [0.10338649609846719], [-0.07775737644130137], [-0.3774723965050729], [-0.9811978378103565], [-0.10948906891312463], [0.08258394557855091], [0.07599752241770354], [-0.11645485767570884], [-0.030190953346507357], [0.2298188704164727], [-0.26074173538926365], [0.48038225542906854], [0.04516001595776574], [-0.079704144765914]]
4	0.09735757173844439	[0.7015161573660762, -0.3488474572404439, -0.6871069053420835, -0.09863323659766508, 0.585581582674493, 0.4898288993159887, 0.8699678123128156, 0.6754158304807888, -0.45529936854366326, 0.8294671188669993, 0.671713134960353, 0.5984100574397669, -0.23062326351327422, -0.7118119790856017, 0.06129248738855924, 0.10911582842718812, 0.7038163539713344]	[[0.09735757173844439], [0.9977010629259894], [-0.02764623315166889], [0.01873476914276498], [-0.05896849374065692], [0.11137269375871553], [-0.14082119777754168], [0.18063094299221863], [0.09595874452669959], [-0.008079670717579424], [-0.3845349365875204], [-1.0664458930243275], [0.026872583296093936], [-0.018470530943842205], [0.12165119935733984], [-0.08934416553794536], [-0.01855823806635837], [0.24034311710937437], [-0.3478565764831313], [0.5742245615159863], [0.02924369253900585], [-0.15572531700764894]]
5	0.08785696995705654	[0.918366868792671, -0.037457364179220735, 0.14411441231914807, 0.13863081456534587, -0.7272989759229866, -0.3690464630635388, 0.6107063735058824, -0.43612080414237314, -0.9358043831301437, 0.9100236918247292, 0.7707914937180131, 0.017085718696259793, 0.5627485521343313, 0.8927330062048953, 0.5730473017951412, -0.1396919151802892, 0.8058529450095452]	[[0.08785696995705654], [0.9977260206600627], [-0.029073548902006384], [-0.007519388293874673], [-0.060340494295001816], [0.04443660032896658], [-0.12624503181662464], [0.18145733005559508], [0.0876582820401463], [0.06380651714525404], [-0.3297835449700784], [-1.0274512753539096], [-0.014969744605936926], [-0.10550290501213988], [0.24726722921353797], [0.10624347689655317], [-0.0008014267472234299], [0.23785910185338766], [-0.42608751393133437], [0.6182182542395854], [0.03607522785748028], [-0.18526810289343548]]
6	0.08739326684755877	[0.959822734053823, -0.7346168835707748, 0.7805118138402753, 0.3932460091452124, -0.956920618587671, 0.9940236393167643, 0.992567393930361, -0.7495986125643322, 0.5151851962064993, -0.8810980854950109, -0.83794517222992, 0.7222018036148794, -1.0140314832210384, 0.595635445883666, -0.6396631233590926, -0.11948857001923106, 0.3339312135893874]	[[0.08739326684755877], [0.997018369502265], [-0.042930173987061], [-0.01824675688725013], [-0.06146891002436516], [0.013685804734394097], [-0.07368000359008611], [0.16286881235762274], [0.09703803226150523], [0.09948243858971227], [-0.33017797522448217], [-0.8880053655044595], [-0.14804761027271063], [-0.14659189745609638], [0.1693240395782823], [-0.03904257919577147], [0.023413475422995836], [0.20345099965383506], [-0.445583188395423], [0.6723678475177193], [0.040714128309846664], [-0.16271295049145026]]
7	0.09138538892095376	[0.49861719184283815, 0.7235628796559102, 0.1522811789735325, 0.7695584297658661, 0.2729700639925498, 0.38646652879472687, 0.7803449402919151, 0.9814803833772733, 0.9839093211474901, 0.8761366353142945, -0.25216436032709816, 0.8721887222284592, -0.550095748065201, -0.30756626713512536, -0.8844415429089391, 0.041315196601847404, -0.6650710446960664]	[[0.09138538892095376], [0.995848010602893], [-0.06084047495872201], [-0.01644886340551787], [-0.06568570070969908], [-0.02726979441867751], [-0.10346180078565614], [0.18393534513013574], [0.10601420498526418], [0.12534709493495738], [-0.17886557306224807], [-0.5755753639316896], [-0.1576586380043914], [-0.19195127723306477], [0.14332422167835207], [-0.2681358690075156], [0.06234693796660027], [0.16614949817805885], [-0.46365145370166694], [0.7144661738606286], [0.042576146616959507], [-0.14581105346433457]]
8	0.10008542073718471	[0.4844519821492931, 0.49349859914133654, -0.8142117573742431, -0.8751449184252885, 0.41263413328204945, 0.9231616241330728, -0.6594244788979907, -0.9602868273963834, -0.5050058326845261, -0.4831182808094079, 0.4913345104278596, 0.9693511582295061, -0.8487608230047284, -0.589963951024965, -0.6611403013111613, -0.28261568775663504, -0.9516338080703339]	[[0.10008542073718471], [0.9948459233152286], [-0.066066260410543], [-0.02179683344090148], [-0.07376812421626351], [-0.01701579597081404], [-0.10100331028261211], [0.15712896851345629], [0.05857222129326459], [0.12750832591703426], [-0.0334055904870678], [-0.23092943138233765], [-0.16898098591077382], [-0.20872978911777534], [0.12945042934136688], [-0.37021661320704535], [0.12280051671364253], [0.12712710518386125], [-0.5075690244847174], [0.6892745465501156], [0.0817091676722872], [-0.15374228076797522]]
9	0.11456726082983215	[0.682075058866578, -0.8183197276513184, 0.06788001343617826, 0.6741429032066152, -0.370624714366216, -0.929997086055793, 0.3389890987403061, -0.44264520876795144, -0.15251886556667515, -0.7435263316121158, 0.5936659204709369, 0.8331828664319866, 0.8037222122504536, -0.013325432578149795, -0.4549227653761932, 0.2568917273468788, 0.9482844393337452]	[[0.11456726082983215], [0.9933824931660487], [-0.07469344939097605], [-0.04170597867979828], [-0.07663368862088829], [0.03157871191928006], [0.07097504842931077], [0.08498366493336953], [0.08024507105518783], [0.10729872231458454], [-0.06508974280742488], [0.03962256673733811], [-0.21832054525323907], [-0.22229623612964022], [-0.030758026228093788], [-0.3561955101092012], [0.19350645410375744], [0.053648369029345375], [-0.5548037345466447], [0.6222145245926763], [0.14221798348453715], [-0.1388403727402444]]
