timestamp	reward	action	state
0	0.118675380672663	[-0.6267694993450632, -0.3448550208149081, -0.5262181049785163, 0.9215298821843206, 0.30520079656565874, -0.3354092603389352, 0.5150186993798962, -0.9603972149800031, 0.8941802106600579, -0.380499178829258, 0.6646046405096044, -0.9978193548227603, 0.44632121934466484, -0.24927480743213629, -0.0972936544956606, 0.3975233897233805, 0.6172624541354093]	[[0.118675380672663], [0.9998894050675871], [0.0046071734861787665], [0.012182900256531109], [0.0071783373697865156], [-0.0038249971670931454], [0.053571158859640984], [-0.03537834587680923], [0.08356519704438706], [0.015820911741838795], [-0.08143329233432031], [-0.0012921816026064282], [-0.08439200118032344], [-0.0042504387810706565], [-0.09273193976995583], [-0.011007438288805913], [-0.022249180172226782], [0.008635162314458454], [-0.01308283243194287], [-0.006777885972641339], [-0.018297357533428146], [0.017790301791233563]]
1	0.12733656877720495	[-0.5056987479830597, 0.8633047930914112, -0.7264615928447339, 0.9767068481395158, -0.5608621518925425, -0.36304061921966285, 0.21926882453959906, -0.20309740660083134, -0.6177663882432711, 0.2994363717731209, 0.30500081532302686, -0.08823031379629709, -0.2951403707342886, 0.9795595607592517, -0.4928213091415592, 0.0780473202770334, -0.22600374248379484]	[[0.12733656877720495], [0.9991097959057404], [0.014523714227817272], [0.03925350754258567], [0.005276324082426111], [0.006404625675679411], [0.05460328853830192], [-0.09451076897742655], [0.14238443412336768], [0.01687480218274822], [-0.1579443793252431], [-0.008365156002390768], [-0.1649551331216008], [-0.007789885174596097], [-0.17080248877061105], [-0.0097733014884612], [-0.08869343069130248], [0.050700713003775266], [-0.023931522670802306], [0.0012877383728737155], [-0.044862771009462135], [0.03395088470239254]]
2	0.1381301359283055	[-0.2797027972259205, -0.784411480029396, -0.480509521694697, -0.879821473871422, 0.3728141266586612, -0.8659321426585491, 0.9272827260252803, 0.6150779663933242, 0.8886227440222438, -0.9044230424680426, 0.5896235522702664, 0.6180850408228152, -0.31145719269130406, -0.8903770010967318, 0.24116238511728688, 0.26082959488355784, -0.9601113777442312]	[[0.1381301359283055], [0.9976740243789964], [0.03162743072385691], [0.060382907667523904], [-0.0003888018016646479], [-0.0021634237984888335], [0.05599523223757723], [-0.11454993853080288], [0.06082004244479056], [0.027169814773345687], [-0.22954576176092212], [-0.013588162213679006], [-0.08050669555856879], [-0.015420760111551683], [-0.21258030616755802], [-0.00902446469978748], [-0.14319397789490534], [0.0829605242664695], [-0.027242687039175626], [-6.994942281679517e-05], [-0.03528386681786324], [0.02753705451784612]]
3	0.15043005914269617	[0.036649918332243986, 0.9671324548768603, -0.4849711305115785, -0.4664371127925985, -0.11931692148087222, -0.8060621006986668, -0.9517079752226154, -0.8027015410979143, 0.5515954766918728, 1.1291613794507018, -0.6111638112348343, 0.0011945860203663693, -0.6743120105235897, 0.07896278454258313, -0.9862483999889583, -0.5511238481534485, -0.4820193680461316]	[[0.15043005914269617], [0.9953632409117361], [0.058179442031433014], [0.07601624924862631], [-0.009418121721824832], [0.004962399954225684], [0.06370804513606118], [-0.14642700554434887], [-0.06491976467438564], [0.0047804306789686404], [-0.35335060581918115], [-0.17740164540913905], [-0.10001063221950604], [-0.024601712571380857], [-0.2504370869266083], [-0.05064185703152661], [-0.19747466064273667], [0.1113989426097957], [-0.04034688784633812], [-0.036583751459690395], [-0.008883401145271842], [-0.014835894831171016]]
4	0.15877351843886955	[0.5651771124956839, -0.8414530171598322, 0.6162597496499788, -0.8710683011660492, -0.3246808067151052, -0.08249503498536656, -0.5542070846101089, -0.21217979517663862, 0.1862326471424649, 0.3229239854780567, -0.005156545398406429, 0.896795917065262, 0.5559444920318685, 0.06673237802579893, 0.23819839086409852, -0.6831613686411868, 0.7759676540638675]	[[0.15877351843886955], [0.99356831431497], [0.07449883968980094], [0.08287962644664061], [-0.020072249356961454], [0.043707159867901565], [0.04155823534206006], [-0.15091730229854097], [-0.18942551169124971], [-0.043490581514852245], [-0.46691091892270126], [-0.5155894892222637], [-0.15966758909671974], [-0.006470250280188066], [-0.19720960296779252], [-0.05311480405168338], [-0.21735339184929595], [0.144302403608805], [-0.0613896325465034], [-0.04224325614403696], [0.004326371165406049], [-0.0686278995753308]]
5	0.16143456440036996	[-0.82055065337803, 0.18229280421891222, -0.04853151129194963, -0.8577838111510037, -0.8919285988080685, -0.17166062916355557, -0.7582609906687469, 0.9036017701178646, -0.3217868621052667, 0.7567352950295907, -0.1058025893968794, -0.34554464073797075, 1.0176128999102996, -0.05580897645545151, 0.8769440013061812, -0.9642412112527371, 0.16999759257708788]	[[0.16143456440036996], [0.9916355034814088], [0.08350571647018962], [0.0930660375178442], [-0.03200837722691241], [0.11593926788219211], [-0.04535241080889056], [-0.13963029672165006], [-0.30239731815433035], [-0.08798615241628172], [-0.5187840282978985], [-0.9173311034599964], [-0.12043279220232966], [0.0495948159362663], [-0.07882520373640856], [0.00033674311423936495], [-0.23452312450866647], [0.20381433538933777], [-0.09163872431510342], [0.023596794296133768], [0.007677567936966387], [-0.103225072373696]]
6	0.1631895533964473	[-0.8947976636609642, 0.48398780213186166, 0.8872226740022245, 0.6313462561763551, 0.08340753092639255, -0.29027116976967104, -0.4784211467782362, 0.9767249763598321, 0.2705360103284689, -0.34983336929015424, 0.46269306001903177, -0.17119418802714964, -0.09086123635941452, -0.18729602612292756, 0.7598959668017929, 0.21447209132430037, -0.9174747392997069]	[[0.1631895533964473], [0.9906738359081536], [0.07601456065525836], [0.10533268418281778], [-0.041135909595576316], [0.1940845991222154], [-0.08741571693926424], [-0.1328900909376231], [-0.2899559180648021], [-0.146224523332999], [-0.6240473058056911], [-1.3225533161568832], [-0.02673776300170377], [0.11468797994332576], [-0.05474011138245163], [0.006089974529262344], [-0.22901380147869688], [0.23061416295347056], [-0.09888154458998955], [0.13132168014273618], [0.014106954640180228], [-0.12238659297350471]]
7	0.1640426918257332	[-0.808898703578938, -0.4495496580688787, 0.09059222549681788, -0.4802688994518179, -0.7057672955085365, 0.35153356384531703, -1.0617872191368793, 0.8670084673534176, 0.7026383799337732, -0.44391187940488525, 0.08965065266301013, -0.8444572995896992, -0.1217851224057718, -0.4985456634013026, -0.30248271596375736, 0.38645043368895365, 0.40466780110217637]	[[0.1640426918257332], [0.9895824355033698], [0.05970803225201772], [0.12368705058573956], [-0.043163268472302826], [0.2510184357360659], [-0.1341207534059393], [-0.12407150424533973], [-0.3058515557266165], [-0.23068439261704765], [-0.7234672919436013], [-1.5890656015725784], [0.04615529937361118], [0.1743505699878125], [-0.06989868244970386], [-0.02957379589097453], [-0.23562160893400147], [0.2343545947468072], [-0.11186452558883202], [0.24283681818397218], [0.012697179289334497], [-0.13164507443681708]]
8	0.15767152023522493	[0.4832978925006453, 0.8157309343989054, 0.2031624093281882, 0.840933003038488, 0.3886180517057143, 0.8558611932748378, -0.8939972029984099, -0.5843527125182633, 0.43032924325739225, 0.8390044178561896, -0.12937246073347405, -0.6626073254460515, -0.535560826140107, -0.12081900395637096, 0.8039708928478132, 0.7575405594193698, 0.07319782590907122]	[[0.15767152023522493], [0.9881937104804612], [0.042398698223518855], [0.14129125875197998], [-0.04138020246555521], [0.3216170840014505], [-0.27872356845652274], [-0.1672656248064659], [-0.33284720277272745], [-0.2878859212963327], [-0.6522539224506962], [-1.859879735626708], [0.01857159308711262], [0.23595314806503107], [0.017445370571479508], [-0.062129340441159545], [-0.2788321785139056], [0.23954957184258888], [-0.15115106282353813], [0.3615246834233806], [0.005035151226311665], [-0.129263375374944]]
9	0.14644925922652147	[0.1664187817495732, 0.20989720590525981, -0.8166704726263287, -0.8292054256560726, -0.9616046451946455, -0.7491081366311121, 0.9664593410408895, -0.7293806769661505, 0.1266475779758709, 0.39157761047119866, -0.8722743070417679, -0.2472580302340847, -0.5890304358788944, -0.7845689738649688, -0.045432871558921215, 0.05569953490042322, 0.8556559358771214]	[[0.14644925922652147], [0.9893520231282974], [0.03495990498748731], [0.13587650933395545], [-0.03870340535961163], [0.37021386834231407], [-0.34523634954190424], [-0.22126454416759975], [-0.3376245699470197], [-0.3286148166138331], [-0.5898073334139033], [-2.0938135405467735], [-0.024677702038431212], [0.28470807403599213], [0.06455158972516647], [-0.15040980207318425], [-0.3264127045030448], [0.21513053463310478], [-0.1980176725611809], [0.42260392454558054], [0.026045077347854183], [-0.10804505595496729]]
