timestamp	reward	action	state
0	0.10814407636310085	[0.7562230826960668, -0.5430861552973865, -0.1940663343448084, 0.8915427138561295, -0.5030681275994706, -0.19327066127467157, 0.01711985343269492, -0.44901629642850777, -0.05498134891840143, 0.6281774840438011, 0.9302247060588016, -0.210881079379098, -0.5687200809432779, 0.6868600608458594, -0.8710005733822319, 0.08365701163352901, 0.039425915356648]	[[0.10814407636310085], [0.9999660326124995], [0.003888661337388708], [0.007068657653897164], [0.0016870130979332976], [-0.01855684489114643], [-0.002067739563744654], [-0.017644586393428086], [0.08883599534865887], [0.00025645585260118203], [0.0021933532233492045], [-0.01372226485885409], [-0.07116923070679484], [0.005799461967062704], [0.01302405335883143], [-0.0006850543069632585], [-0.03449435292853796], [-0.0005428283108630372], [0.009015792326092974], [-0.004882531529592346], [-0.020689732283596204], [-0.0316953482504415]]
1	0.11717547543507204	[0.913816455113393, 0.3625418668049852, -0.8103798203175024, 0.3280199412990371, 0.6633845492223256, 0.0597677402692007, -0.6997427226671066, 0.5475590748188307, -0.35199555495880297, -0.669301611100756, 0.27362276208476416, 0.5984695690958173, -0.9039419016531023, 0.35405663338109505, -0.8863091077902937, 0.6085843067606611, 0.9119824191357394]	[[0.11717547543507204], [0.9999280190569285], [0.010302084732144697], [0.005054718844558261], [0.003503365875989488], [-0.030677345572679603], [0.07156463257738796], [-0.04123732377054711], [0.13917337229276458], [0.012106766248337172], [-0.11114288683672893], [-0.14576951400539084], [-0.025831189791495204], [-0.004358105642099182], [-0.04867250042301173], [-0.004165756804962707], [-0.07204560941539243], [-0.008033379354667183], [0.04374570429795522], [-0.02387096995997262], [-0.023864843825915926], [-0.026803086685032687]]
2	0.12420112908535991	[0.1531373027254854, -0.5962810064418217, 0.23110175275855382, -0.41251108401997794, -0.8712229487947165, 0.20246277403894675, 0.91717183059738, 0.9136812944551349, 0.9438823040123432, 0.00032110105746795126, 0.3029749178794533, -0.8845622938850636, -0.4330990312383359, 0.18174827890012094, 0.556591181836701, -0.45974006495463776, -0.7105508083169313]	[[0.12420112908535991], [0.9999075007056578], [0.010158455148410484], [0.003905112036908223], [0.00815756835964292], [-0.055354201740007554], [0.10918733387161333], [-0.0716622210982312], [0.07381606356973255], [0.02081569822688413], [-0.13026275147307986], [-0.14791358309560965], [0.08036477848541772], [-0.013450651493181627], [-0.07896992999601171], [-0.007375813384699526], [-0.11384194137076303], [-0.027617393777300464], [0.0846504797775936], [-0.02459366713218886], [-0.057020124124366106], [-0.042786131146406205]]
3	0.1312134619022606	[-0.4116178273660949, 0.5466393025731866, -0.20459189692479024, 0.6167108383986712, -0.7663892204091692, -0.879081541449571, 0.00903409640551209, -0.45795422709281036, 0.2276587598743179, -0.942528174301987, -0.8243908512785446, 0.030273906576754953, 0.768407950348035, -0.8405439326088492, -0.6626427048974418, -0.26198069303226224, -0.4653278430972595]	[[0.1312134619022606], [0.9997774033466954], [0.0036960626694726804], [0.014171487611872913], [0.015187225452641536], [-0.06114637995453906], [0.1634764189904358], [-0.12949157823709367], [0.10581847226560137], [0.0019568204042504957], [-0.1825763281764719], [-0.08521844242123712], [0.019397721907494805], [0.00592759614961986], [-0.23902298923800164], [-0.13664806446717268], [-0.15962300488854564], [-0.049607507411081685], [0.11574104458380938], [-0.006483347942751742], [-0.1175356874672234], [-0.08551718000089227]]
4	0.13741731247056474	[0.6707515230503327, 0.541231608644941, 1.0198680312109518, 0.6115549997416937, -0.07309384336440218, 0.20433136247363237, 0.07808628458568251, 0.403393790454031, 0.977696559354864, -0.13458256570022406, 0.42451354398890817, 0.61890475279398, -0.7802589109950318, -0.09330346037432131, 0.43936225204362234, -0.7054197300473761, -0.9796248721590313]	[[0.13741731247056474], [0.9994943084583771], [-0.013783759991075721], [0.02757124977891685], [0.007807784925818819], [-0.007479070836758745], [0.18759601079540994], [-0.12405868607563236], [0.13310091581496392], [-0.0425322669921572], [-0.20824548844923294], [-0.01547530472552415], [0.0796765576061962], [0.07429650427031423], [-0.33518752882390584], [-0.1940348639114739], [-0.14578916574501674], [-0.035404722823892926], [0.09414609031408219], [0.05480290905782205], [-0.16847732896109427], [-0.14642000853080692]]
5	0.14501730852484487	[0.9523589938353225, -0.9653138873142664, 0.30331537524056784, 0.5890526185124872, -0.5175432631401725, -0.30312560464058885, 0.2984088500005087, -0.24432156038063624, 0.36015728166491445, -0.902772836494409, 0.35895886011556416, 0.27762765192539296, -0.7193165668295777, 0.28705310183941174, -0.3561171530596328, -0.025973386633025, -0.7023677991027468]	[[0.14501730852484487], [0.9992414532673325], [-0.03543807826262367], [0.016055474962218014], [0.0016977647008612176], [0.03045503031025182], [0.27434236014057595], [-0.05523875371080047], [0.13339388422484905], [-0.061196052345471284], [-0.24803805794412584], [0.03085422043985567], [0.07736837563756076], [0.0987389456809325], [-0.3655258092780248], [-0.054573631923457044], [-0.0667725914402354], [-0.0827185091078274], [0.1072825404458345], [0.0767792443351014], [-0.18134963104519303], [-0.2227464296478212]]
6	0.15556163207022408	[0.7605940257019764, -0.8109116961310008, -0.8676654198845016, 0.7675124890832637, 0.31241712890277484, -0.8133936505415889, 0.433438197488666, 0.46545088049212224, 0.4233051185195979, -0.779026272543172, 1.0092056967030643, -0.965850770970286, 0.010051520047093542, -0.5633446191733475, 0.466204189897299, -0.713562950701204, 0.11235313541162255]	[[0.15556163207022408], [0.9994041143304762], [-0.03349162442021874], [0.002263205239685102], [0.00803773942439956], [0.0009761816079706179], [0.44803177279823087], [-0.028729219493047766], [0.13054781921275782], [-0.031901014424681996], [-0.4016577728180683], [0.02818657486712356], [0.1132258995288409], [0.11707711909140658], [-0.500051739855445], [0.06305771964299389], [-0.043091071318312815], [-0.17978895836128683], [0.16565274231688415], [0.02580183950248867], [-0.17086615084008555], [-0.2721116157638323]]
7	0.1641061267491768	[-0.34569824603614635, -0.6585734613900857, -0.08975519142347466, 0.4733968619374347, -0.5948230066881953, 0.06446928137689116, -0.2459135269261283, -0.24774305047861456, -0.6516285568792841, -0.10825448862320636, 0.3793300195868765, 1.0081870222901674, -0.3927397959355101, -0.584791862519778, 0.2641857211190609, 0.9158893136318633, -0.33562841239751995]	[[0.1641061267491768], [0.999466778560374], [-0.025032830366348246], [0.00711320563749697], [0.019721010713365923], [-0.05330473813824582], [0.5379148860772734], [-0.05461302662432325], [0.1257390552950445], [-0.01252986977866508], [-0.5122839960747699], [0.00502759618942267], [0.05169426385045502], [0.07784433579741147], [-0.6432283753134651], [0.07020015377535348], [-0.059826005398873464], [-0.24763661922182661], [0.16799485896566646], [-0.0005246556336259973], [-0.19907876825955376], [-0.34124246654157075]]
8	0.17335692915426015	[0.7821926881917907, 0.4585833832744456, -0.2634496991748942, -0.23013632995157426, -0.6162423267994629, -0.6987521542322881, -0.592487431095489, 0.29321681398926075, -0.49745872823868414, -0.6253371592020137, -0.3997287853376013, -0.017190148867756598, -0.9858489558722793, -0.902449847875033, -0.3513160624226384, -0.7439117562523262, -0.8556237096760333]	[[0.17335692915426015], [0.99955021000267], [-0.0038299969934929546], [0.023937983485187147], [0.01765451084882618], [-0.06257577511329947], [0.5515883629133562], [-0.06821406219830856], [0.051459659632595606], [-0.04781893960369174], [-0.6384827687414071], [-0.13678470495120915], [0.02059200974700031], [0.03648108505089007], [-0.7848859023866809], [-0.10077755433971955], [-0.07913825542272564], [-0.2537640647269057], [0.11435680078558919], [-0.00973565502005493], [-0.207641180247094], [-0.42339039770928266]]
9	0.18501723621715735	[-0.46584599409223126, -0.8990258921596164, -0.8783367628320472, 0.6371530637941862, -0.48250352894675264, 0.006545860387568769, 0.41951157306294534, 0.7605643090733416, -0.7333226693681212, -0.3297272175401647, -0.5833159059191589, 0.37192346952155175, -0.5682567499572421, 0.46047947072289547, 0.48386914898345457, -0.771140577220031, -0.44007086034239834]	[[0.18501723621715735], [0.998569547663968], [0.02690435655495757], [0.042395465441459446], [0.018374944531725695], [-0.10414943803221778], [0.5374183328900174], [-0.10850138030520148], [0.029168280789835316], [-0.03712762980147593], [-0.7085930286778506], [-0.18810480945166044], [0.036353372257222884], [-0.0035233720114265423], [-0.9671873780912889], [-0.474151764060914], [-0.10276066599687256], [-0.27655222352471437], [0.07791408847986764], [-0.042306529495098354], [-0.23443909206816013], [-0.552289108984978]]
