timestamp	reward	action	state
0	0.11036867393046765	[0.14742452770787814, 0.6751797076857622, 0.28317061996282, 0.826118576268889, 0.06608820180423264, 0.11673027018648809, 0.49523079646771473, 0.519511569357986, 0.9006746477771895, 0.561784066974071, -0.22591082430116763, -0.5883380701224882, 0.28113617639496263, -0.23597259172197133, 0.07424355377206523, -0.6852456086493279, 0.3798033067165194]	[[0.11036867393046765], [0.999960339365328], [-0.005334477387517313], [0.006838898546252535], [-0.0020229963059912853], [0.0209926048049857], [-0.06908397539277455], [0.021419957313034442], [0.07227093345672286], [-0.012580232289267732], [0.051336231878871916], [0.005293388203525465], [0.08427402204881594], [0.007257395628557607], [0.06496726701119411], [-0.01192519323509865], [-0.021621576676170547], [0.03345415608274583], [-0.04342573622599414], [0.07321858743530084], [-0.020433911335219865], [-0.01228267894860975]]
1	0.11139390776326184	[0.8912966440577451, -0.3092785837027204, -0.7502216363894382, 0.5145652621308953, -1.0048079090064423, -0.38860534360081395, -0.4212699128561481, -0.747676934295148, 0.6480082903917573, 0.555096032320317, 0.4883477264586835, 0.37779306968910203, -0.08607381484885018, 0.8787189072661308, 0.11548899969937494, -0.40115841942994823, 0.05395484120872337]	[[0.11139390776326184], [0.9998732044647104], [-0.007368918172527475], [0.01118739137940448], [-0.008609083142952311], [0.07036616132214785], [-0.09666805902504562], [0.04734860294624997], [0.14048566688308792], [-0.06533274091690108], [-0.007486171568075715], [-0.1965480180774819], [0.04377568835648252], [0.061108129609955625], [0.11074854875945934], [-0.014000904430779637], [-0.041909046412167555], [0.07227735656295507], [-0.0679360247813395], [0.16122647925451367], [-0.028038449989924972], [-0.0060833072815319605]]
2	0.10998562346313791	[0.01956906418934359, -1.042257668089424, -0.6587841201033124, -0.7685796678577425, 0.5865961493500078, -0.15548043517486862, 0.6379198557000945, -0.45982233346805135, -0.20887718289695745, 0.5600622569197642, -0.9285613197214156, -0.3040931764837174, 0.011582025296532579, -0.8647022249334183, 0.9363197950240271, -0.6289926807482973, -0.8253548650032319]	[[0.10998562346313791], [0.9998626427832383], [-0.009049835365980669], [0.013796180841759941], [-0.0015688978770433976], [0.053578148014478556], [-0.13772172097563898], [0.03930906538324259], [0.08187327017665902], [-0.0695679240178547], [-0.022751197652706705], [-0.37250725270884383], [-0.053868850920154206], [0.08515507768885063], [0.1565902105280521], [-0.06679456940462136], [-0.09637436177296281], [0.07949604486500884], [-0.07995117418876568], [0.22728242831880655], [-0.08680821707194376], [-0.050954481786049007]]
3	0.10495507015265756	[-0.19748960167255164, -0.8755982941286391, 0.7054543070327851, -1.000481807183218, -0.32866682986876317, -0.0610610726087747, 0.4221330082908828, 0.35908660627929984, -0.999370268716341, 0.37113187482306564, 0.9495413138912293, -0.5420227088411491, 0.8789772913142475, -0.592902506641832, 0.2714602644494662, 0.9713414883723814, -0.6889995565708392]	[[0.10495507015265756], [0.9998559377575076], [-0.009475615736339395], [0.011184426216797527], [0.008557163529676014], [-0.012800913639774094], [-0.20256948599528188], [0.06760855327545001], [-0.02652701587510922], [-0.020889489461769266], [0.07537974167901786], [-0.3307716385039188], [0.01828242644423278], [0.03612726989521799], [0.29473781038425256], [0.02565344222040796], [-0.1619606349405504], [0.09918232737426656], [-0.14773679839638235], [0.28865121023536433], [-0.15712473351587852], [-0.1460092462747187]]
4	0.0973364489166514	[0.10223233784751055, -0.994975861223261, -0.19924456848681438, 0.349258422116576, -0.13444307726113877, -0.17944438404786878, -0.5316950739092072, 0.5101830898294506, -0.43860907207770716, 0.6655509927463457, -0.3321546026175694, 0.19812290760168097, 0.8222389602033918, -0.6289483065907425, -0.13837511027338145, -0.2967404304109907, 0.46011377388734637]	[[0.0973364489166514], [0.9997609853987078], [-0.0068312460191170075], [0.007908406354528153], [0.019203209663043667], [-0.07393421872926946], [-0.24090106965089506], [0.09551442683133844], [0.006954025072844112], [-0.006197300535870049], [0.10021700076852091], [-0.3730842583978726], [0.13396225397216657], [-0.030858806500648643], [0.36005965224908293], [0.05222394790715121], [-0.23079544651909784], [0.128197383775831], [-0.23638463711446156], [0.3384301856243587], [-0.20705085011832502], [-0.20595434263361667]]
5	0.0901850562126875	[-0.15934816828771778, 0.3338688756697004, -0.7806370642971484, 0.986357468990721, 0.010172708517194845, -0.3344586206127071, 0.0735347574535815, -0.3588680035429334, -0.9177931783879247, -0.38017828933983905, -0.6684989719839719, 0.46798912724466235, 0.7070204705504918, -0.7269892071753409, 0.9148978284481741, 0.23097315400366056, -0.31169600693795774]	[[0.0901850562126875], [0.9996443962602759], [-0.0005178127539863122], [0.003147409197245365], [0.026474642787494777], [-0.0909263954406681], [-0.1825438845301079], [0.03103813902012918], [0.11718084623428789], [-0.008613306041246644], [-0.03341749338575703], [-0.5489509392660056], [0.09005575287604616], [-0.03495473038975739], [0.19756855880249685], [-0.12160662806072535], [-0.2738448064835886], [0.16240169097260598], [-0.3371077167306044], [0.3766070231574972], [-0.22381289001834245], [-0.21949833749756226]]
6	0.0854408451785413	[0.592152238842463, 0.859735699328383, 0.912393789413161, -0.5855814335197962, -0.1344406453259484, -0.13207371312351554, -0.010087852818100046, -0.4069780229473912, -0.5606362713101551, 0.3038224228963108, 0.1650850365507629, 0.9000056508844799, 0.8108838851649453, 0.9354789540687521, 0.17188831331526577, 0.9099635760862468, 0.13098770527874906]	[[0.0854408451785413], [0.9997765503205908], [-0.0047345946618830995], [0.00958629031429819], [0.01823557184342827], [-0.08473535657659075], [-0.16425680007075655], [0.04254185412299005], [0.059448218777718644], [0.0094908410044897], [-0.15138023279111576], [-0.7123514130525175], [0.021636722504662108], [-0.03745978208627726], [0.0978435499255033], [-0.19353413458423], [-0.25947105667663356], [0.2268157941839537], [-0.4245321490270397], [0.47019348747629625], [-0.19692674980135869], [-0.20023272175449894]]
7	0.08883782167059247	[0.8309300597533834, 0.11716814275914189, -0.32933084931480455, 0.8790057310180099, -0.08636686902565555, -0.44958714561226465, -0.30587236615502705, -0.4132054908650104, -0.3098021661806268, -0.44133437517140084, 0.57313648034659, 0.7832981705235886, 0.9818385021137509, -0.8505333737990506, -0.5639408471063067, -0.07560851315001196, 0.9871922211665738]	[[0.08883782167059247], [0.9998934182616256], [-0.0027059473146990457], [0.013363975295849791], [0.005218633011034501], [-0.03604342112743933], [-0.07237548369587474], [0.04269622443287215], [0.072612973845668], [-0.007077031226325026], [-0.35912572728424996], [-0.9179166043231378], [-0.08337638892523984], [-0.026531261288585035], [-0.00391733364018864], [-0.07644732284479355], [-0.19839010529601478], [0.2834565040613646], [-0.4827351264452021], [0.5027912066261105], [-0.11324729814989047], [-0.13052737392489683]]
8	0.0937922246168761	[0.47863958992229244, 0.8257286263908634, 1.0008103723136406, -0.38426956978961346, 0.10481098253514884, -0.10932972907494376, -0.3842495140099917, -0.09828952089748855, -0.5653049813606245, 0.03984059801477182, -0.3641085489360249, -0.6901057549065518, 0.9740152827606867, 0.42764668285081575, 0.7427322700006166, -0.04087879660400342, 0.9403525660822956]	[[0.0937922246168761], [0.9999338557175715], [-0.005600681024665899], [0.007653053288985349], [-0.006507483169924869], [0.004396043200084041], [0.023459247786707226], [0.03984941321472178], [0.06954217745017674], [-0.0225508138170373], [-0.5368932739160603], [-1.130298817800541], [-0.1422704503735454], [-0.04240870739008672], [-0.07987066983061479], [0.02806247309797321], [-0.1449703987890925], [0.29650703637023146], [-0.5233220438775473], [0.51174364770332], [-0.03178248310235361], [-0.04223148116126685]]
9	0.09497707330813814	[0.4775442013426007, 0.8104758255066823, -0.24562889730918402, -0.17151625422709998, -0.24565592656112165, 0.6001883889454385, 0.23143427059917704, 0.14695002750364225, -0.40982350076857266, -0.7960235724153071, -0.08457997241040621, -0.9777417081090368, -0.8747264888667468, 0.8972077860480034, -0.02380751926640575, -0.77156603137468, -0.72346082102531]	[[0.09497707330813814], [0.9997684320665253], [-0.016657761231034702], [-0.005415539775227035], [-0.012500926483840782], [0.006531768815378197], [0.08106637610987577], [0.0448109617535831], [0.043879853398796534], [-0.021773148953944523], [-0.6003651419032425], [-1.2043363252511246], [-0.12856463641678323], [-0.0736731699845269], [-0.14781209463902234], [-0.037409082278836873], [-0.11646602215507997], [0.26532055960565254], [-0.5155794174027218], [0.5247083775248506], [-0.005643795997524146], [-0.00994913294891966]]
10	0.09460089983740104	[0.11977465843500555, -1.0336968321154543, 0.9782372190956782, -0.6603349540645155, -0.8407036590063598, -0.4794556356122475, -0.18371976658311767, -0.49127508794206304, -0.0722016137575212, 0.553433684042396, 0.49498450567461316, 0.48923474559075014, 0.8501109224824258, 0.2867212646040097, -0.8648298646613537, -0.4762084413661573, 0.032330236325075104]	[[0.09460089983740104], [0.9993756291553524], [-0.02298316870098447], [-0.021292974267402356], [-0.016332025399615906], [0.0018742035094338994], [0.10562815926396488], [0.0721955520170242], [-0.0453636565877224], [-0.037579754736222076], [-0.605386178526889], [-1.2543470976985496], [-0.19380985266792772], [-0.10826084925269665], [-0.10847335913673678], [0.012667611142990226], [-0.09128575443522281], [0.23221049469663924], [-0.4878840859539645], [0.5066887656255602], [-0.0012626194340190334], [-0.024971355855076083]]
11	0.09875274037209562	[0.5189714012848233, 0.39770920823915723, 0.9282047267150784, -0.04392156651640887, -0.5792781749976997, -0.08815546970045661, -0.8166402132997498, 0.2672997967412706, -0.43285599445606476, -0.8919836882120308, -0.7652899320260624, 0.60781695135867, -0.07994743184122785, -0.6744552224304626, -0.11449546639565222, 0.5904009245768197, -0.41795337050685627]	[[0.09875274037209562], [0.9986776692174444], [-0.03923762940764434], [-0.022572818386941484], [-0.024367792574447357], [0.038992658149635054], [0.15365122671274345], [0.1252953150143313], [-0.10921737850683672], [-0.09598254323938449], [-0.7112417716648003], [-1.3888536695666507], [-0.17771200565583486], [-0.11706737297875167], [-0.21454108618730194], [-0.13043421165583224], [-0.03546493584626606], [0.20790500325053315], [-0.4622121985755113], [0.5132399853706555], [0.016247991881603682], [-0.026030228341579094]]
12	0.10077629438511872	[-0.8673047961179103, -0.015980868827465577, 1.0745586107299179, -0.7142919212038731, -0.6074578670869162, 0.18742965224686797, 0.9222205725349988, 0.4644411572306203, 0.6391141577444616, 0.18037196067079853, 0.19160963328626998, 0.9834685757334436, 0.5413211798634078, 0.45475361130290815, -0.3091907527319092, 0.6795480690279542, -0.7387140768766641]	[[0.10077629438511872], [0.997270055006094], [-0.06135152159151525], [-0.020119641871870573], [-0.03582775736068213], [0.07622701842712296], [0.12180160984565855], [0.1989876993995632], [-0.18153133347039405], [-0.14416343031951007], [-0.7126290254624711], [-1.4831333866519698], [-0.0700329188656435], [-0.09701548799096069], [-0.23410816984450394], [-0.2589987811725763], [0.03850510445568987], [0.21430614631156208], [-0.48461047982777655], [0.5257713520879259], [0.023052533672070916], [-0.08134714347465263]]
13	0.10028949425245158	[-1.0112319864761214, 0.16461184893378766, -0.2337530799081282, 0.618608571905826, 0.6934138105320988, 0.07354451134931875, 0.8046381708207404, 0.15588998989529793, 0.9319093794916905, -0.03169250679138969, 0.7184493118867541, 0.4685244936787522, 0.9508365609033845, -0.42237371044699973, -0.6101975883818113, 0.3316665266876108, 0.562198135843235]	[[0.10028949425245158], [0.9962529759148187], [-0.07000877312425485], [-0.02156258211730925], [-0.04597645831225661], [0.1076840981817728], [0.05244265203240114], [0.22556863805786245], [-0.18607625459516067], [-0.1628663241663315], [-0.6278605895092665], [-1.4727402781564247], [0.012058062253206811], [-0.06780502135531344], [-0.11778397398194282], [-0.16639608722553245], [0.09442811645412436], [0.2427171411311496], [-0.5492525354637121], [0.48063999871358193], [0.04076918631264129], [-0.14018462479559837]]
14	0.09728315257991568	[-0.21852658135746797, 0.9031868388968395, -0.48083800344718836, -0.5572876492219643, 0.49062068313797896, 0.8815655801543625, -0.11702155099463413, 0.22514011149659213, 0.4516317217167139, 0.3338201092595114, 0.6125563366679095, -0.25336391795984625, -0.9155797071067097, -0.1000412230649017, 0.4956831628372158, -0.4633194868550904, 0.7627189105159419]	[[0.09728315257991568], [0.9958930925601698], [-0.06738473557092743], [-0.019919701238168674], [-0.05709160275872214], [0.1384991858124829], [-0.06914832676423396], [0.198967248415744], [-0.1872043343913974], [-0.16719601817411262], [-0.4569887944067383], [-1.4281271190289384], [0.07574023284643182], [-0.04677248146906974], [0.10272982773281798], [0.06845464203755727], [0.11806384800499907], [0.28210046664864696], [-0.6340881234492589], [0.4216518646176624], [0.06846454667477572], [-0.15723838862622777]]
15	0.09644721918729464	[0.22174113265048598, -0.6138514452379653, -1.1165799834343468, 0.08163322356543433, 0.03957031988801171, 0.040628468850018834, -0.8121083955376405, -0.3432468701531321, -0.5372383154770543, 0.2732066746132248, 0.22835000151455317, -0.5343875139868393, 0.7382712332952972, -0.7795945164012293, -0.6683885091490597, 0.6479753813714206, -0.5686734164077658]	[[0.09644721918729464], [0.996679696838327], [-0.05640837399479275], [-0.01379782388686629], [-0.05707273700736257], [0.14230657740222866], [-0.17197824467908326], [0.11036681648089865], [-0.17930873584569623], [-0.14322130368461838], [-0.31054902737968537], [-1.4229832392689303], [0.019762921939950422], [-0.05182689198458706], [0.23097345460141425], [0.11574841318046146], [0.10501754084415683], [0.291087805190528], [-0.6828411566186702], [0.3733459914610737], [0.061989163307125665], [-0.18868262800193292]]
