timestamp	reward	action	state
0	0.11892118417715601	[0.9303957252273979, 0.8367523824181707, -0.2461639611802651, -0.7558106113035358, 0.2731375509045056, -0.4684256640838069, 0.6745028077085085, 0.5293161047717613, -0.6661958123057858, -0.19365026163188517, -0.8499596983404226, 0.47198207526574654, -0.26367457607307343, -0.16739808183701654, 0.4684488239909903, -0.22107971222648987, 0.6898938178969132]	[[0.11892118417715601], [0.9999126325103215], [0.008295873761286985], [-0.0014977975703639069], [-0.010181474709181688], [0.0013742880438095749], [0.0853210989240169], [-0.011520505851573017], [-0.08884224881970292], [0.004417752626116357], [-0.1046509372960922], [-0.009570868170380931], [0.06817144877029982], [-0.020996239386357148], [-0.14866650922163563], [-0.1585522412179446], [-0.001993830514060643], [0.0038293818604643896], [-0.003540284044895043], [0.0013664484380838185], [0.007320795942125591], [0.0302399846221982]]
1	0.13100702582108403	[-0.7401322028723674, -0.3432153069159775, -0.7356766491019606, -0.14912028493322887, -0.9484673331892567, -0.3796266863270144, 0.8329698250497501, 0.05234319680683209, -0.04883315018329963, -0.3896504923969193, 0.9287897936162336, -0.27577558568726235, -0.2277886145725219, 0.6542091155368723, 0.5144418099380701, 0.1066199552654612, -0.25918964343055745]	[[0.13100702582108403], [0.9997626342668673], [0.00986783431242602], [0.016368805650636482], [-0.010457684797723783], [-0.022409433210495704], [0.17908707458372403], [-0.044863558784882754], [-0.16143021677063274], [-0.004281418014812892], [-0.2676889302649157], [-0.011440450209987747], [0.10678772964923146], [-0.02963889049850026], [-0.3605903532036599], [-0.30159588765323775], [-0.028346139019616797], [0.007630859258577051], [0.015285282545085911], [0.024596682808131806], [0.006107279609044983], [0.06003567571062335]]
2	0.1398347454314801	[-0.8012076385895204, -0.28491529615936717, -0.1268679679668855, -0.5486695923347602, -0.5624411151988433, 0.5827982513593131, -0.9618334147830052, 0.7710428217852541, -0.6972098702443232, 0.3161320117067293, -0.536991511499747, 0.3964416405697402, 0.46053704763666636, 0.8358028346146541, -0.7968322570732225, 0.38303269355015057, 0.5344150911408897]	[[0.1398347454314801], [0.998477762434999], [0.02348827180078219], [0.04869647362051061], [-0.010913865838329226], [-0.027756731749751774], [0.11692690481765478], [-0.08298787969237169], [-0.2844216503747667], [-0.04045047586640597], [-0.2869144474762089], [-0.037627474752388146], [0.11267743499427567], [-0.03805362724712894], [-0.3846539460556825], [-0.3529019094508058], [-0.10360165154171462], [0.06879455483312377], [0.02526261298191037], [0.04666085509601426], [-0.016611160898038893], [0.05765253821141339]]
3	0.14889641037781803	[0.43037411478812254, -0.47358666858228565, 0.4436691230785103, 0.9670214312417302, -0.1481222202183708, -0.8372970890398664, 0.8776093030810862, -0.9126485309085312, -0.7653421235833886, -0.6072519194429324, 0.46922484332850545, -0.27213358776571384, -0.3247150737777305, -0.43079515804277535, -0.7176059048540328, -0.524045709173545, 0.6442251239867517]	[[0.14889641037781803], [0.9978876726541629], [0.031956302878677505], [0.05613177897936784], [-0.006943404049583275], [-0.06918272144884037], [0.11805263029665121], [-0.06471392252303242], [-0.2642928811424932], [-0.005336541210838304], [-0.3025203545289706], [-0.021961542693330085], [0.061465369119770144], [-0.10114472801052538], [-0.38911391844807647], [-0.37924087905851156], [-0.1264455565341845], [0.07439271087712962], [0.04194889624034385], [0.01624743196584788], [-0.006636970746972972], [0.08778209439577045]]
4	0.15776911539850594	[-0.1839079890165901, -0.08095196485620892, 0.8986255357339276, 0.8087251940436057, 0.9944843789968938, -0.0394926536425813, 0.5647058351587334, 1.0120789706689166, 0.8014306049436899, 0.4526015310449102, 0.614772832010885, -0.2067662901640106, -0.12577082576360707, 0.32060039502688464, -0.6358103775013302, 0.5316609695509499, 0.9080912717654184]	[[0.15776911539850594], [0.9975741818660305], [0.04269298758263474], [0.05430673256849342], [-0.008592978722377253], [-0.08551135351148818], [0.15006976955902487], [0.004548529728975945], [-0.15206351219941436], [0.054306692719895494], [-0.31713784269572953], [0.008141310810634999], [0.113072616729528], [-0.12111192716200839], [-0.31761592476765343], [-0.1639046742665169], [-0.13352230221624792], [0.08081786569760833], [0.04064324139049997], [-0.038835521709126186], [0.03489497299660914], [0.14102614323823243]]
5	0.16373060527476935	[-0.8457093204571481, -0.5846227666661613, -0.4399701104980375, -0.2705437233737041, 0.2273197824685328, -0.07349403997006193, 0.4978679638035662, 0.34367057682519353, 0.278634838716459, -0.010443475495539452, -0.9208943034325877, -0.6633167163650717, 0.6418925732818075, -0.2847751984550638, -0.3475180591836793, -0.7511746871396437, 0.2766837251328766]	[[0.16373060527476935], [0.9953287002073741], [0.07181914078145674], [0.06444565371771681], [-0.0030898669564850922], [-0.12418192610692183], [0.1146593472666415], [0.027418178010734984], [-0.14441791053894493], [0.09046730583281117], [-0.3056541333882805], [0.010027179571360378], [0.13975486078392782], [-0.1464041188377299], [-0.2234291045728616], [0.007572719035046208], [-0.21906846554038217], [0.10664684024394558], [0.047869383337002795], [-0.12171966439893538], [0.050385618956408584], [0.2008968410116118]]
6	0.16683662666691004	[0.7014310397102622, -0.7691824666705062, 0.6914824887841822, -0.9200593379918773, 0.33152198306635333, 0.473260068112445, -0.9071657065447831, 0.4753820319891984, -0.46351187470036526, -0.8931302509792057, 0.4682015344958648, -0.06765565498170463, -0.023640081442993417, -0.259097609296734, 0.25393737538207833, -0.27403926274793433, -0.41071365356244716]	[[0.16683662666691004], [0.993273510031927], [0.08659256800322883], [0.07571669209789432], [0.013283221492337691], [-0.20422477247428292], [0.07299184572811934], [0.02037460321809135], [-0.18885929127514048], [0.12534745477879297], [-0.3049786206901069], [-0.03141611245164096], [0.14071936291346826], [-0.19322175383983511], [-0.21698251297903692], [-0.005809915045486048], [-0.2950650479879149], [0.09972808332852029], [0.045832739963844335], [-0.1764003893015485], [0.02059139426681913], [0.23877681336009984]]
7	0.16689722460361672	[0.6415049955728322, -0.11408157239784242, -0.8875743424912105, 0.4986095388195954, -0.5314494579704405, 0.671491704349105, -0.8517518108776715, 0.8640428136990798, -0.5634570788851764, -0.8111249825991438, 1.0413645943129224, -0.8141017907704013, 0.3108565837950511, 0.2466367940539286, -0.47090653654334674, -0.07007440834715012, 0.171275953140102]	[[0.16689722460361672], [0.9928685817996926], [0.08815696220856695], [0.07350323275462749], [0.03221186216044875], [-0.2718164499745384], [0.07452576521376368], [-0.02521498128234466], [-0.10063717421742999], [0.1620949936033293], [-0.3022501400793387], [-0.14952007242651918], [0.1374379522196238], [-0.21085333832555378], [-0.24718264008102306], [-0.012997537388542807], [-0.3359717159066385], [0.05947803752688616], [0.052289533215624844], [-0.2242815283331447], [-0.005299437627455139], [0.2655952245294988]]
8	0.16526585425102186	[0.6695670542940978, 0.8054758191499528, -0.40764426644900426, 0.2542829032953902, -0.4856103720365803, -0.9059215263602037, -0.22730555928064955, 0.4693161579479415, -0.009424825735918083, -0.2602861038936267, -1.0111440298986816, 0.950556453495651, 0.7798986972923152, 0.4415366521119748, 0.330770293679979, 0.5462248682275722, 0.40743167181552664]	[[0.16526585425102186], [0.9928134259939244], [0.09305974903377706], [0.06661292010243847], [0.03498718553132328], [-0.25764799379057923], [0.16822576031333208], [-0.10775017832468682], [-0.020026932962779274], [0.13195357080795067], [-0.42528416212001174], [-0.3021950634300284], [0.13210639491707526], [-0.15160934971546727], [-0.4273169697923558], [-0.16792269772342544], [-0.3494317860422868], [0.048576441160247286], [0.08839127624065311], [-0.26827295251220756], [0.041093797459476424], [0.35464556562668315]]
9	0.16515604567591158	[-0.26547594697421256, 0.5463464729178003, 1.066890515662693, -0.16133848217144148, 0.9214019505208821, -0.6354094047844452, 0.124060435022363, 0.16648663568531544, 0.5748024179795491, -0.2805128306703644, 0.7116822370907377, -0.4976439527546799, -0.21037907508970433, -0.6598816378602063, 0.6556653161073631, 0.5885050419408775, -0.40660288119967025]	[[0.16515604567591158], [0.9946761719335231], [0.08010035256301916], [0.05845923357065057], [0.028031491528007695], [-0.20453196062060758], [0.2728571872446261], [-0.12994794122297376], [-0.003784857683424207], [0.08191843326488503], [-0.5593405293045289], [-0.4015540720116873], [0.1256281074515545], [-0.07773925130355187], [-0.5657715225233306], [-0.2738271441379107], [-0.2956222885159632], [0.04170918178331487], [0.10262940647369194], [-0.24584979804236923], [0.1128686893144451], [0.42232623259949853]]
