timestamp	reward	action	state
0	0.10778855430222474	[0.554097100780753, 0.46623772147113324, -0.39533748440692423, 0.500438695099903, -0.8142113173239107, -0.2267708757327776, 0.3689656198149168, -0.4671124314765635, 0.04816158246318149, 0.881687442405183, 0.5188955470277754, 0.05894006798773158, 0.41662028078909447, 0.5702846428774925, -0.5560559038434525, 0.39149137239586407, 0.3678829649260157]	[[0.10778855430222474], [0.9998711964916333], [0.0034068795351788576], [0.010535250839826683], [-0.011618609553830891], [0.030487341965960882], [0.00459915604810688], [-0.03508753853308289], [0.0872939376965984], [-0.031313430187954405], [0.0018265571484436167], [-0.0047839021214093275], [-0.07629320632271361], [0.023906442196886427], [-0.0022209574430102144], [0.006056382176341264], [-0.0211574508488298], [0.03244889954379582], [0.000844233806650682], [0.006254899714064483], [0.005014882197168578], [-0.008324066953148572]]
1	0.11829705333649432	[-0.9216771584254826, -0.5099248419254507, 0.8165657594044214, -0.6086353605450905, 0.9497104841271975, -0.48876872216074996, -0.5474572092669666, -0.3492851117864479, 0.46683731341842905, -0.6495332446643517, 0.12893170003719864, 0.3189063484376341, -0.9627730379756168, -0.34800921673367563, -0.20699498095733987, -0.10800054018739147, -0.29778443161187423]	[[0.11829705333649432], [0.9995343099491861], [0.008477537097365847], [0.02188218615973809], [-0.019505499943293557], [0.06392052906678919], [0.0645909905846499], [-0.010868113018844152], [0.03016605216063555], [-0.0509034381996501], [-0.18000145941327264], [-0.2174098684548681], [-0.1702405209692689], [0.03343219195435995], [-0.09420586782856877], [-0.01922604524814336], [-0.03829886293363221], [0.06662770706864793], [0.0024812819502158657], [0.0351657805150277], [0.010589095874606798], [-0.010106275328050337]]
2	0.12960364269764355	[-0.6114001028443733, 0.3326813501861863, 0.9025678219349074, 0.2884713226147967, 0.853652763000804, 0.5832795276707462, -0.12600950907362554, 0.9261867178251232, -0.442172493107055, -0.4953512081549612, -0.9436172337462632, -0.7135483584016288, -0.9418840372478174, 0.831132410981581, -0.8619667238615674, 0.33342043834321666, 0.0529552025647594]	[[0.12960364269764355], [0.9985283613976789], [-0.0008795446445081484], [0.051434099044898], [-0.0171718182241911], [0.04999420652335621], [0.04821155725738814], [0.023889218448788007], [0.029266565001187142], [-0.04203929145176663], [-0.30798327340252213], [-0.38934032443659916], [-0.14920323972445917], [0.019859156662415868], [-0.194573600495531], [-0.12808906968755493], [-0.06432423249814231], [0.08133428231161524], [0.02011125099240666], [0.08512458432044126], [-0.03715490386256363], [-0.031320154817436344]]
3	0.14230244613806323	[0.10139820528642889, 0.6918501524654693, -0.731946992196574, 0.4616272311766395, -0.9059949945065575, -0.7216378462337926, 0.10802616053778334, -0.3866090980956173, 0.13176834302213045, -0.6768860195773466, 0.878303770142213, -0.3557227872311034, -0.23740490941472864, 0.21320844463116415, 0.6344812575317419, -0.8363858599999162, 0.9511787116827444]	[[0.14230244613806323], [0.997669772246194], [-0.003051059896879631], [0.06524558149741094], [-0.01971625407621101], [0.06494440686435349], [0.05569187330985961], [0.03041351031455515], [0.10266603320109384], [-0.04585639553600832], [-0.3785499659805271], [-0.4515707438763372], [-0.19770893478348797], [0.01414367418169534], [-0.28157227651467365], [-0.18827781324433177], [-0.08530010530510046], [0.06828340697966312], [0.06278510319758528], [0.10156013899721507], [-0.036290262007739396], [-0.022310078698094274]]
4	0.1541645780594263	[0.6853868306329712, -0.8127804341235564, 0.27251516025088207, 0.5650524935819178, -0.29921197321103093, -0.33036146377943115, 0.9316628315921042, -0.9298137155624495, -0.5280865044360771, 0.8995847666446544, -0.7245839210130021, -0.12552665460730544, 0.37160793367250217, 0.3800456258093849, -0.11751445816043649, -0.9318734871232975, 0.9970212966323012]	[[0.1541645780594263], [0.9976002105473353], [0.001078118306429203], [0.06624053351595686], [-0.020120867186859875], [0.062458226349578656], [0.09363393602859604], [0.046290837512961376], [0.13595213897771388], [-0.04002311769705346], [-0.4258867272930966], [-0.43187836687480496], [-0.30614063656003415], [-0.02975782316922281], [-0.33432924665923686], [-0.198009367497944], [-0.10755963296377968], [0.03690706536555306], [0.12516479368436972], [0.09742222300394014], [-0.02298235999611256], [0.003406750283027283]]
5	0.16492615460392618	[-0.023699743393988615, -0.5227873964405745, 0.7418962854751022, 0.015794024125813877, 0.8784041168361975, -0.5414623061242424, 0.36990976416579247, -0.9510460426057552, -0.8542307573548128, -0.30585199282016157, -0.3407072664111949, -0.5702723217258377, -0.971025669723413, 0.35148111878496924, 0.835189576132715, -0.4284130742993124, 0.14957271618691403]	[[0.16492615460392618], [0.9977175684845925], [-0.007639870004492097], [0.0665321350931007], [-0.008646439929854671], [-0.009201715706687538], [0.1753233091887543], [0.10651441500128869], [0.13310759059280408], [0.026782731329043873], [-0.47793302290525974], [-0.287116088890301], [-0.4023157807351665], [-0.15741137547949716], [-0.4550148951455615], [-0.3891904830339904], [-0.12045266285558935], [-0.04313888846920816], [0.2283528587135548], [0.11064303586178409], [-0.044846033672215034], [0.03948339406545558]]
6	0.17614624320891664	[0.013812751916435028, 0.22002371789347308, -0.9493576777394254, 0.39265081769189153, -0.41993541907103205, -0.14840625971221347, -0.8501036864122063, -0.13345494663083682, 0.36034239701997994, -0.4939825074451592, -0.7317560209256623, 0.2219713940600565, -0.9516089223239728, 0.1755583146541215, -0.9549911565247432, -0.49232252471739396, -0.2198248630036052]	[[0.17614624320891664], [0.9972114241438262], [-0.01239678330488944], [0.07338969944418433], [0.005444936751342251], [-0.04984788592719606], [0.25173717451789274], [0.10828883012365192], [0.1250696111551532], [0.03329181854656445], [-0.577146516838694], [-0.23583621709369637], [-0.4228923874156103], [-0.226119018392832], [-0.6598255717410603], [-0.7171271483159377], [-0.14210025449476454], [-0.1458380367171041], [0.3485373698382313], [0.10920490078591047], [-0.07540920122379656], [0.07285087632916327]]
7	0.18775025735734177	[0.8514495776404735, 0.3307039936618173, -0.6574018730444726, 0.5172720178755459, -0.12458193951498239, -0.9043702678634268, 1.0007666271744564, -0.6508144449934322, -0.21070935780462524, -0.47262973410204223, 0.10899299894179157, 0.11532064070852208, 0.8987145686727264, -0.0874352696039367, 0.27557471856562643, 0.24661279500668776, -0.795956034692371]	[[0.18775025735734177], [0.9971525501038144], [-0.006717441896699301], [0.0742740709705767], [0.011181689375134382], [-0.031221795812851682], [0.3577372739705119], [0.050133054823620134], [0.12314883386859309], [-0.04303581880975932], [-0.7080737727161807], [-0.21614038313827036], [-0.4533911212905078], [-0.2496861408260984], [-0.8905178844249938], [-0.9912689219982522], [-0.15230210655395793], [-0.22834202925864971], [0.43602085824554476], [0.0766893229847396], [-0.06891951326580584], [0.08741470512920538]]
8	0.1982596824243981	[-0.6238899478468445, -0.19867865449475403, 0.3717479307133804, -0.7979324777738738, -0.12737278542096345, -0.45431054208029875, 0.6184273252594739, -0.7845189549748596, 0.07429542985157168, 0.34601006714218113, -0.6390319277164348, -0.1642672818410414, 0.6052096178756347, 0.7003440862834033, -1.010537770512176, 0.6482660659651671, -0.2887590013389935]	[[0.1982596824243981], [0.9965213246328372], [0.00015062279007251606], [0.08270377217670154], [0.010262208950087986], [-0.026676919365599704], [0.40347400401728406], [0.04498207931586398], [0.05713467850703911], [-0.12259819699602148], [-0.736895534837824], [-0.039667768124753915], [-0.4669656116601133], [-0.2885737577592662], [-1.0237646876210698], [-1.2083681785794405], [-0.1628725094351687], [-0.24707247488974202], [0.49201125559783054], [0.05877271890675644], [-0.05960667583522217], [0.06233266763179686]]
9	0.20701123716504993	[0.7391565135625409, 0.4236537328293047, -0.14571186346434534, -0.390749372875993, 0.009800678840897293, -0.2338683668811359, -0.6979540372725197, 0.7053399232700572, -0.0070932438637776735, -0.8922688569547648, 0.8104850974239404, -0.41121343543302646, 0.03705658337664953, 0.09756861164270644, -0.7548571991401317, 0.7160720498909857, -0.12714895400639697]	[[0.20701123716504993], [0.995338243405143], [0.024323416034456553], [0.09326139349688184], [-0.0035305991841641047], [0.014569144382605877], [0.44410794413669624], [0.05050418334106294], [0.006687490385858716], [-0.2013316742015877], [-0.825956498243971], [0.01134089305968527], [-0.41830346875026814], [-0.29395047470984526], [-1.1446064041549746], [-1.3068151076827454], [-0.2164518042391019], [-0.20885745346473575], [0.5499876906470674], [0.00866380819393074], [0.0012653085881294199], [0.04321479436739795]]
